一级类目,一级类目ID,二级类目,二级类目ID,三级类目,三级类目ID,关键词,ID,状态,推荐,来源
食品饮料,1320,休闲食品,1583,饼干蛋糕,1595,猴头菇饼干,912cdca12afdaee5,启用,普通,品牌词
家具,9847,客厅家具,9849,鞋柜,9876,百叶门,efe905febdd273f8,启用,普通,品牌词
家用电器,737,个护健康,1276,剃须刀,739,男士剃须刀,845f778a51a77a8f,启用,普通,品牌词
玩具乐器,6233,毛绒布艺,6236,毛绒/布艺,6254,泰迪熊,cc0a7134fa900272,启用,普通,品牌词
食品饮料,1320,进口食品,5019,饼干蛋糕,5020,奶酪味饼干,8e98459de79ad0eb,启用,普通,品牌词
母婴,1319,尿裤湿巾,1525,婴儿尿裤,7057,婴儿防尿裤,b5d783609b746618,启用,普通,品牌词
家用电器,737,生活电器,738,取暖电器,747,油汀,89e2e86626540d88,启用,普通,品牌词
家用电器,737,厨房小电,752,电炖锅,9249,紫砂电炖锅,9dbcd62701a57d9e,启用,普通,品牌词
服饰内衣,1315,男装,1342,休闲裤,9736,男裤,03b3053830f26377,启用,普通,品牌词
鞋靴,11729,时尚女鞋,11731,高跟鞋,9772,水钻高跟女鞋,cfd9922c5d20f367,启用,普通,品牌词
家具,9847,书房家具,9851,书柜/书架,9881,书收纳柜,653e5c4032bad0b1,启用,普通,品牌词
医药保健,9192,保健器械,9197,理疗仪,12591,颈椎治疗仪,37bfa7ab72e2d2f4,启用,普通,品牌词
医药保健,9192,计生情趣,9196,排卵验孕,1503,排卵试纸,16325ceb1a15316c,启用,普通,品牌词
家居家纺,1620,家纺,1621,地毯,11160,防尘地垫,ee8e3e086a9f7186,启用,普通,品牌词
家居家纺,1620,家装软饰,11158,花瓶花艺,11967,仿真花人造花,974df555025d5dda,启用,普通,品牌词
家用电器,737,个护健康,1276,按摩器,967,眼部按摩器,ea2be00a3ab17c84,启用,普通,品牌词
农资绿植,12473,园林/农耕,12479,花盆花器,12586,座盘,6f321acbf9d4dcd0,启用,普通,品牌词
家装建材,9855,厨房卫浴,9857,厨卫挂件,9908,卫浴挂件,234150afd79f45af,启用,普通,品牌词
家居家纺,1620,家装软饰,11158,装饰字画,11163,现代装饰画,80de3ff469cb1810,启用,普通,品牌词
汽车用品,6728,维修保养,6742,底盘装甲/护板,9964,底盘,2e12cec6494ae288,启用,普通,品牌词
家用电器,737,大 家 电,794,酒柜,12401,葡萄酒柜,d492200fecad8a09,启用,普通,品牌词
美妆个护,1316,面部护肤,1381,爽肤水,1390,纯露,0a28b03015866245,启用,普通,品牌词
家用电器,737,厨房小电,752,养生壶/煎药壶,12397,电药锅,fb9a4a97d2f2e0a6,启用,普通,品牌词
家用电器,737,厨卫大电,13297,油烟机,1300,脱排油烟机,5cdf5cda2bafa357,启用,普通,品牌词
珠宝首饰,6144,铂金,12040,铂金手镯/手链/脚链,12044,铂金手镯,99f68ec1766139ca,启用,普通,品牌词
美妆个护,1316,面部护肤,1381,乳液面霜,1391,晚霜,cdb09c025dfd5531,启用,普通,品牌词
运动户外,1318,体育用品,1466,网球,1696,网球拍,b35941f5109961d9,启用,普通,品牌词
家装建材,9855,灯饰照明,9856,落地灯,9901,个性落地灯,c63e1e47512a22dc,启用,普通,品牌词
运动户外,1318,户外鞋服,2628,速干衣裤,12124,女士速干衣裤,12d3e9a1847d7ed3,启用,普通,品牌词
母婴,1319,妈妈专区,4997,妈咪包/背婴带,5002,背带腰凳,d3ab6aa445896706,启用,普通,品牌词
礼品箱包,1672,潮流女包,2575,单肩包,5257,韩版单肩斜挎包,3cb308b15f227a4f,启用,普通,品牌词
家用电器,737,生活电器,738,取暖电器,747,碳晶取暖器,a9ed11b87a4c1bda,启用,普通,品牌词
美妆个护,1316,面部护肤,1381,洁面,1389,控油,916e0438aba3f53e,启用,普通,品牌词
服饰内衣,1315,内衣,1345,内衣配件,12012,假胸,2c62ebc5ebe82261,启用,普通,品牌词
家居家纺,1620,收纳用品,13780,收纳箱/盒,13783,内衣柜,9506987ce022ffec,启用,普通,品牌词
汽车用品,6728,汽车装饰,6745,脚垫,11883,汽车垫,8320618b19f9c533,启用,普通,品牌词
汽车用品,6728,维修保养,6742,卤素灯,6768,车顶灯,4677e3af4d1d6765,启用,普通,品牌词
厨具,6196,厨房配件,6214,储物/置物架,11977,芝麻油,03ecc2974c18644e,启用,普通,品牌词
鞋靴,11729,流行男鞋,11730,休闲鞋,6908,反绒皮,73fa8cdbda933bdd,启用,普通,品牌词
母婴,1319,童装,11842,毛衣/针织衫,14933,儿童毛衣,22b9766580a4549f,启用,普通,品牌词
母婴,1319,寝居服饰,6313,睡袋/抱被,13290,儿童睡袋,a7bada42d3b8a021,启用,普通,品牌词
珠宝首饰,6144,时尚饰品,6182,手链/脚链,6189,情侣转运珠手链,69e6a4f9ea1c7fb8,启用,普通,品牌词
电脑、办公,670,电脑整机,671,笔记本,672,学生笔记本电脑,97ba41338dac3e4c,启用,普通,品牌词
礼品箱包,1672,潮流女包,2575,双肩包,5258,印花双肩包,93fda69b2c8752c4,启用,普通,品牌词
礼品箱包,1672,潮流女包,2575,双肩包,5258,铆钉双肩包,228573f14e9ecd9e,启用,普通,品牌词
家装建材,9855,墙地面材料,9860,地板,9934,锁扣地板,d5c8a04b742718e0,启用,普通,品牌词
服饰内衣,1315,女装,1343,连衣裙,9719,沙滩长裙,daaf6f3c934c0915,启用,普通,品牌词
家具,9847,餐厅家具,9850,酒柜,9879,田园酒柜,d6732349de5100da,停用,普通,品牌词
宠物生活,6994,水族,13968,造景装饰,13975,国产壁纸,d61152029d6a58a7,启用,普通,品牌词
美妆个护,1316,口腔护理,1384,牙刷/牙线,1406,儿童牙刷,45c5aa5f4102379b,启用,普通,品牌词
美妆个护,1316,香水彩妆,1387,唇部,1425,果冻唇彩,457a8a2b83bb0c8a,启用,普通,品牌词
家装建材,9855,五金工具,9858,手动工具,9921,割刀,7e141a186f998716,启用,普通,品牌词
家装建材,9855,五金工具,9858,电子锁,14404,智能门锁,cee99f9f2cea127d,启用,普通,品牌词
家用电器,737,大 家 电,794,冷柜/冰吧,12392,商用冷柜,6766e8e47cc1fe90,启用,普通,品牌词
家装建材,9855,五金工具,9858,电动工具,9922,冲击钻电锤,73f61f78b98e6d13,启用,普通,品牌词
家装建材,9855,五金工具,9858,电动工具,9922,曲线锯,1b95977a8bb684b3,启用,普通,品牌词
家装建材,9855,五金工具,9858,电动工具,9922,电锯,5bb2c7eeb694011b,启用,普通,品牌词
母婴,1319,童鞋,14941,运动鞋,14951,毛毛虫童鞋,a1cbfacb03db141a,启用,普通,品牌词
服饰内衣,1315,服饰配件,1346,男士腰带/礼盒,12029,皮带扣,246394f777085baa,启用,普通,品牌词
家装建材,9855,五金工具,9858,电动工具,9922,电动螺丝批,bef2e292c4d67898,启用,普通,品牌词
美妆个护,1316,香水彩妆,1387,美妆工具,1429,粉底刷,c51e37a030faf7ab,启用,普通,品牌词
家用电器,737,厨卫大电,13297,消毒柜,1301,毛巾消毒柜,ebfd19a0162fc566,启用,普通,品牌词
电脑、办公,670,办公设备,716,投影配件,5010,办公设备配件,b781f76cdacf89cb,启用,普通,品牌词
运动户外,1318,骑行运动,12115,穿戴装备,12121,骑行手套,475c45d91cb6a6b0,启用,普通,品牌词
美妆个护,1316,香水彩妆,1387,底妆,1420,粉底精华,4105477745cf8879,启用,普通,品牌词
家装建材,9855,五金工具,9858,电动工具,9922,砂轮机,1296996809b82b4e,启用,普通,品牌词
运动户外,1318,户外装备,1462,帐篷/垫子,1473,双人帐篷,257cde955e26613b,启用,普通,品牌词
电脑、办公,670,外设产品,686,键盘,689,游戏键盘,1a1ec50a340ca988,启用,普通,品牌词
家用电器,737,生活电器,738,饮水机,750,茶吧机,0ae3d69de2a23742,启用,普通,品牌词
母婴,1319,营养辅食,1524,面条/粥,9399,宝宝辅食,c350c4d3e4a33fbd,启用,普通,品牌词
鞋靴,11729,流行男鞋,11730,休闲鞋,6908,一脚蹬,ef3db9c4c937119c,启用,普通,品牌词
汽车用品,6728,汽车装饰,6745,脚垫,11883,地毯式地垫,3bd52f2e63361e0f,启用,普通,品牌词
手机,9987,手机配件,830,创意配件,868,苹果皮,4263d834438a7473,启用,普通,品牌词
珠宝首饰,6144,银饰,6155,银手链/脚链,6157,纯银手链,2e184eeae80a2278,启用,普通,品牌词
家居家纺,1620,家装软饰,11158,装饰摆件,11166,活性炭雕,84cdd53f27dcbe51,停用,普通,品牌词
电脑、办公,670,办公设备,716,打印机,717,标签机,7519592d312994dd,启用,普通,品牌词
母婴,1319,寝居服饰,6313,安全防护,6317,儿童床护栏,6d8f17167032cb23,启用,普通,品牌词
家用电器,737,商用电器,14857,商用开水器,14868,开水机,414759ed3e378659,启用,普通,品牌词
家装建材,9855,五金工具,9858,手动工具,9921,烙铁头,ddff3c4fccc9d870,启用,普通,品牌词
医药保健,9192,营养健康,9193,调节免疫,9201,维生素,7d9db0c916b7196c,启用,普通,品牌词
礼品箱包,1672,潮流女包,2575,双肩包,5258,水洗皮双肩包,a3f81e32b0d9b8b6,启用,普通,品牌词
家装建材,9855,装饰材料,9861,门,9939,门套,71cbbbd21a185b4e,启用,普通,品牌词
服饰内衣,1315,服饰配件,1346,女士丝巾/围巾/披肩,12021,大方巾,7ea55b6f3a516b15,启用,普通,品牌词
礼品箱包,1672,精品男包,2576,单肩/斜挎包,12072,帆布男包,e39a769e3265d606,启用,普通,品牌词
美妆个护,1316,面部护肤,1381,乳液面霜,1391,国货护肤品,b5ddf420812634f1,启用,普通,品牌词
服饰内衣,1315,服饰配件,1346,男士腰带/礼盒,12029,平滑扣男包,a6004568c9eb89cf,启用,普通,品牌词
鞋靴,11729,流行男鞋,11730,帆布鞋,9783,帆布/板鞋,81987838bf9276c9,启用,普通,品牌词
美妆个护,1316,身体护理,1383,美胸,11928,丰胸精油,53a918ced00c9ee9,启用,普通,品牌词
运动户外,1318,户外鞋服,2628,T恤,12130,速干衣,9c0b3187fc0d4d0e,启用,普通,品牌词
运动户外,1318,健身训练,1463,武术搏击,5153,跆拳道服,77b3d07f21bb4310,启用,普通,品牌词
鞋靴,11729,流行男鞋,11730,休闲鞋,6908,帆船鞋,1d713ed80456f487,启用,普通,品牌词
电脑、办公,670,外设产品,686,键盘,689,家用键鼠套装,e1f7bda8db51ba43,启用,普通,品牌词
礼品箱包,1672,潮流女包,2575,双肩包,5258,糖果色双肩包,eb265ebfeb6aee27,启用,普通,品牌词
母婴,1319,寝居服饰,6313,婴儿鞋帽袜,6315,宝宝鞋,e5dc3c61fc1028b8,启用,普通,品牌词
美妆个护,1316,清洁用品,1625,家庭清洁,1663,蓝泡泡,62cc9fef09e54e60,启用,普通,品牌词
家装建材,9855,厨房卫浴,9857,浴室柜,9911,整体卫浴柜,729057b582c04872,停用,普通,品牌词
家具,9847,阳台/户外,9853,户外家具,9892,长椅,cc78a5e49cb397cb,停用,普通,品牌词
服饰内衣,1315,女装,1343,打底衫,11985,长袖打底衫女士,802a4a2ca510b18c,启用,普通,品牌词
鞋靴,11729,时尚女鞋,11731,休闲鞋,6916,韩版松糕厚底鞋,982429fdf1dbe923,启用,普通,品牌词
服饰内衣,1315,女装,1343,连衣裙,9719,沙滩裙,550ce7592a67c828,启用,普通,品牌词
服饰内衣,1315,男装,1342,T恤,1349,亚麻,d4febf6bb2ac3c4e,启用,普通,品牌词
运动户外,1318,垂钓用品,12147,钓竿,12148,筏竿,79a01a3438df679a,启用,普通,品牌词
服饰内衣,1315,男装,1342,棉服,9724,棉衣棉袄,3b1225d6aa6ac4b9,启用,普通,品牌词
美妆个护,1316,面部护肤,1381,乳液面霜,1391,海外直邮,e6d6c84eb667cd48,启用,普通,品牌词
运动户外,1318,体育用品,1466,排球,1699,排球网,85154d0fa359c1f0,启用,普通,品牌词
鞋靴,11729,流行男鞋,11730,凉鞋/沙滩鞋,6909,凉鞋/拖鞋,40fb4412a677d2af,启用,普通,品牌词
美妆个护,1316,香水彩妆,1387,香水,11932,小姐香水,f8a74790a897e55a,启用,普通,品牌词
汽车用品,6728,车载电器,6740,行车记录仪,6964,智能后视镜,52006c0c61d6f529,启用,普通,品牌词
玩具乐器,6233,绘画/DIY,6279,手工彩泥,6281,太空沙,7cdf5b6455a6984f,启用,普通,品牌词
汽车用品,6728,汽车装饰,6745,座垫,11881,专车专用座垫,9127ef1d2f6b1f39,启用,普通,品牌词
家装建材,9855,厨房卫浴,9857,浴室柜,9911,欧式仿古浴室柜,9ad528c8ab33ff95,停用,普通,品牌词
家居家纺,1620,收纳用品,13780,收纳箱/盒,13783,收纳箱,36a739be5379c12b,启用,普通,品牌词
数码,652,影音娱乐,828,耳机/耳麦,842,音乐耳机,9b510f02e3c3acd0,启用,普通,品牌词
母婴,1319,喂养用品,1526,暖奶消毒,1551,暖奶器,40542a03897af448,启用,普通,品牌词
家具,9847,书房家具,9851,书柜/书架,9881,白色收纳柜,9d5d86162e0c8b8d,启用,普通,品牌词
电脑、办公,670,电脑配件,677,机箱,687,机箱电脑,59a6244828f935b7,启用,普通,品牌词
服饰内衣,1315,男装,1342,休闲裤,9736,快时尚,e95a4cbe09ea61d1,启用,普通,品牌词
服饰内衣,1315,男装,1342,夹克,9730,冬外套,3444dc6a257e26ad,启用,普通,品牌词
玩具乐器,6233,健身玩具,6260,户外玩具,6268,充气玩具,ae78a347799022f6,启用,普通,品牌词
家居家纺,1620,生活日用,1624,缝纫/针织用品,1658,纽扣,94b85d19fec78655,启用,普通,品牌词
家居家纺,1620,家装软饰,11158,节庆饰品,11164,气球,9f7ecb0707aa54c2,启用,普通,品牌词
母婴,1319,童装,11842,裤子,11224,童裤,f4eb504968349932,启用,普通,品牌词
家居家纺,1620,家装软饰,11158,节庆饰品,11164,灯串,0486a1f9aa36d887,启用,普通,品牌词
医药保健,9192,传统滋补,9195,养生茶饮,12182,乌梅,938030e63fb24f31,启用,普通,品牌词
鞋靴,11729,时尚女鞋,11731,单鞋,6914,欧美高跟皮鞋,c2a040e231f438c0,启用,普通,品牌词
礼品箱包,1672,鲜花速递,14227,鲜花,14234,开业花篮,70f6e5b386490550,启用,普通,品牌词
玩具乐器,6233,毛绒布艺,6236,靠垫/抱枕,6255,动漫抱枕,66fa502d6d5c4b20,启用,普通,品牌词
家居家纺,1620,家纺,1621,凉席,11963,牛皮凉席,33c5784205c5eaf6,启用,普通,品牌词
鞋靴,11729,时尚女鞋,11731,凉鞋,6917,高跟性感凉鞋,e84afb44776fa199,启用,普通,品牌词
服饰内衣,1315,男装,1342,西服,9731,男士休闲西装,d9b7c53393daa567,启用,普通,品牌词
家用电器,737,厨卫大电,13297,油烟机,1300,烟机灶具,6ab88196002aaf1f,启用,普通,品牌词
宠物生活,6994,水族,13968,增氧设备,13972,氧气泵,ce007dcb062464b1,启用,普通,品牌词
宠物生活,6994,水族,13968,造景装饰,13975,假山,7fbbe93aebe90557,启用,普通,品牌词
鞋靴,11729,时尚女鞋,11731,单鞋,6914,女装正装鞋,f0803e110a1037be,启用,普通,品牌词
服饰内衣,1315,内衣,1345,男式内裤,9744,男式花内裤,e0503974326d88cc,启用,普通,品牌词
玩具乐器,6233,健身玩具,6260,爬行垫/毯,6266,婴儿爬行垫,185e3b348a584d8b,启用,普通,品牌词
家装建材,9855,厨房卫浴,9857,厨卫配件,9918,排水管,a6974da6cc9fde78,启用,普通,品牌词
家装建材,9855,灯饰照明,9856,吊灯,9906,酒店照明,6730d86b4e676424,启用,普通,品牌词
玩具乐器,6233,乐器,6291,电脑音乐,6306,MIDI键盘,0b735a9ad04e970e,停用,普通,品牌词
美妆个护,1316,面部护肤,1381,洁面,1389,去角质,3ca2545af7592b62,启用,普通,品牌词
服饰内衣,1315,内衣,1345,休闲棉袜,12010,男士休闲棉袜,bbbd6a13c53e3091,启用,普通,品牌词
礼品箱包,1672,潮流女包,2575,单肩包,5257,女士单肩帆布斜挎包,641e8ce13b11b43b,启用,普通,品牌词
汽车用品,6728,美容清洗,6743,清洁剂,11878,环保清洗剂,22c8fc9068474305,启用,普通,品牌词
珠宝首饰,6144,铂金,12040,铂金项链,12043,铂金,9cf368d5cb33a420,启用,普通,品牌词
运动户外,1318,运动鞋包,12099,足球鞋,9758,新足球鞋,7a557d39b53d7f3f,启用,普通,品牌词
家居家纺,1620,家纺,1621,地毯,11160,酒店地毯,3fa257e0cbce2919,启用,普通,品牌词
家具,9847,卧室家具,9848,床,9863,子母带,adf4c23b17076e1f,启用,普通,品牌词
母婴,1319,童车童床,1528,电动车,1567,电动汽车,ce8756146310c11c,启用,普通,品牌词
家装建材,9855,装饰材料,9861,排气扇/换气设备,13885,排烟风机,629bcc9b493f918d,启用,普通,品牌词
美妆个护,1316,面部护肤,1381,乳液面霜,1391,抗皱,1e4c4745c0af2929,启用,普通,品牌词
运动户外,1318,健身训练,1463,武术搏击,5153,帆布沙袋,e820bef9c61629ba,启用,普通,品牌词
服饰内衣,1315,服饰配件,1346,光学镜架/镜片,9789,眼镜镜架,9a36962da1599799,启用,普通,品牌词
鞋靴,11729,时尚女鞋,11731,休闲鞋,6916,高跟运动鞋,edb804873ee34d26,启用,普通,品牌词
玩具乐器,6233,模型玩具,6253,仿真模型,6261,塑胶玩具,dce150485bbba791,启用,普通,品牌词
运动户外,1318,体育用品,1466,轮滑滑板,12122,滑板,920ef5912f1b9aef,启用,普通,品牌词
汽车用品,6728,车载电器,6740,电源,6749,应急电源,79ae4ee08ca78af2,启用,普通,品牌词
鞋靴,11729,时尚女鞋,11731,休闲鞋,6916,增高女鞋,b0955e2faeb8348f,启用,普通,品牌词
珠宝首饰,6144,钻石,6160,钻戒,6162,无钻铂金戒指,7330dc9e737d5750,启用,普通,品牌词
运动户外,1318,户外装备,1462,登山攀岩,1475,登山杖,7c5a7283e5723815,启用,普通,品牌词
家居家纺,1620,家纺,1621,床品套件,1626,公主床品套件,4edaf34897a03fc7,启用,普通,品牌词
家居家纺,1620,收纳用品,13780,收纳柜,13782,幼儿收纳柜,c5a30cf5fc64c399,启用,普通,品牌词
鞋靴,11729,时尚女鞋,11731,凉鞋,6917,磨砂高跟女鞋,09ca1d09897c946d,启用,普通,品牌词
母婴,1319,寝居服饰,6313,安全防护,6317,防护门,a9f151701657d9d6,启用,普通,品牌词
母婴,1319,喂养用品,1526,暖奶消毒,1551,调奶器,e12cb0502b46028e,启用,普通,品牌词
玩具乐器,6233,积木拼插,6275,立体拼插,6286,立体拼插积木,9a4d2ee7ebb891d6,启用,普通,品牌词
家居家纺,1620,家纺,1621,桌布/罩件,11159,开松机,c39792260738b945,启用,普通,品牌词
酒类,12259,中外名酒,12260,洋酒,9437,洋酒,8b86346dc86c61dc,启用,普通,品牌词
家装建材,9855,厨房卫浴,9857,淋浴花洒,9907,喷淋头,e68f185ca5ce75d8,启用,普通,品牌词
珠宝首饰,6144,时尚饰品,6182,饰品配件,6195,流苏,3eac367206e7d3f9,启用,普通,品牌词
家居家纺,1620,生活日用,1624,缝纫/针织用品,1658,松紧带,c4d04d9623c49d9f,启用,普通,品牌词
鞋靴,11729,时尚女鞋,11731,凉鞋,6917,高跟鞋女凉鞋,80e7313798f990d6,启用,普通,品牌词
农资绿植,12473,农药,12565,杀菌剂,12568,杀菌剂,7cbb69de2bd32347,启用,普通,品牌词
电脑、办公,670,外设产品,686,鼠标垫,826,游戏鼠标垫,84157a9e64f2bc63,启用,普通,品牌词
家用电器,737,大 家 电,794,冷柜/冰吧,12392,冷藏展示柜,148f85979d2046b0,启用,普通,品牌词
服饰内衣,1315,女装,1343,休闲裤,9717,女裤,42248f7c9e20726c,启用,普通,品牌词
家装建材,9855,五金工具,9858,电动工具,9922,电动起子,49775e0c54037218,启用,普通,品牌词
家具,9847,书房家具,9851,电脑椅,9882,创意电脑椅,3d1e6906b729c82b,启用,普通,品牌词
鞋靴,11729,时尚女鞋,11731,单鞋,6914,女单高跟皮鞋,dc3f5f1250f205a3,启用,普通,品牌词
鞋靴,11729,时尚女鞋,11731,凉鞋,6917,女夏季高跟鞋,06f8597eea01bc39,启用,普通,品牌词
美妆个护,1316,面部护肤,1381,爽肤水,1390,保湿爽肤水,839d9631e1da87aa,启用,普通,品牌词
汽车用品,6728,汽车装饰,6745,挂件摆件,11888,卡通娃娃头,21afaacba4a5a22b,启用,普通,品牌词
美妆个护,1316,香水彩妆,1387,底妆,1420,防晒粉底,b6af26dc825c3dbb,启用,普通,品牌词
家居家纺,1620,家装软饰,11158,装饰字画,11163,家装客厅装饰,a1967111bfb2a118,启用,普通,品牌词
美妆个护,1316,香水彩妆,1387,香水,11932,香水彩妆,c1574375ce0bda0d,启用,普通,品牌词
玩具乐器,6233,模型玩具,6253,仿真模型,6261,玩具和模型,803b730999fe4742,启用,普通,品牌词
食品饮料,1320,粮油调味,1584,面,13789,面条,13c730fffeca3784,启用,普通,品牌词
家具,9847,卧室家具,9848,简易衣柜,9866,成人收纳柜,8f315c01ad41ce61,启用,普通,品牌词
家居家纺,1620,生活日用,1624,雨伞雨具,1656,雨伞,af88f0e4d0be2e93,启用,普通,品牌词
玩具乐器,6233,模型玩具,6253,仿真模型,6261,消防车,63634c99aa48139d,启用,普通,品牌词
鞋靴,11729,流行男鞋,11730,凉鞋/沙滩鞋,6909,皮凉鞋,159dad76a36eb2f9,启用,普通,品牌词
电脑、办公,670,外设产品,686,插座,1047,无线开关插座,f1997b289b9ccdba,启用,普通,品牌词
家具,9847,书房家具,9851,电脑桌,11973,白色书房家具,d2cb003fa0d19235,启用,普通,品牌词
运动户外,1318,健身训练,1463,拉力器/臂力器,13794,弹力绳,0f4ceb09285af342,启用,普通,品牌词
玩具乐器,6233,积木拼插,6275,积木,6280,塑料积木,f6217983f156a419,启用,普通,品牌词
服饰内衣,1315,女装,1343,连衣裙,9719,花边,656d2099259835bf,启用,普通,品牌词
食品饮料,1320,粮油调味,1584,杂粮,13790,杂粮,baef6d95e814f289,启用,普通,品牌词
母婴,1319,洗护用品,1527,理发器,12341,宝宝理发器,e81766dcbfc7dcfd,启用,普通,品牌词
家居家纺,1620,生活日用,1624,缝纫/针织用品,1658,电动缝纫机,ba24868c7c4fb820,启用,普通,品牌词
母婴,1319,洗护用品,1527,洗澡用具,13288,洗头椅,966744d36070a737,启用,普通,品牌词
家居家纺,1620,家装软饰,11158,装饰摆件,11166,家装小装饰,f4b654adb40df28d,启用,普通,品牌词
厨具,6196,烹饪锅具,6197,炒锅,6199,铁锅,3f8774188f7ac434,启用,普通,品牌词
家装建材,9855,电工电料,9859,电料配件,9930,指示灯,fcccf19e124ca672,启用,普通,品牌词
服饰内衣,1315,内衣,1345,塑身美体,9747,塑身,638654f5459a30a1,启用,普通,品牌词
家装建材,9855,电工电料,9859,开关插座,9926,报警按钮,a81c64a652b81fe6,启用,普通,品牌词
美妆个护,1316,香水彩妆,1387,美妆工具,1429,双眼皮胶水,964035ceea08377d,启用,普通,品牌词
服饰内衣,1315,男装,1342,T恤,1349,长袖,21e672938ccf4b82,启用,普通,品牌词
美妆个护,1316,面部护肤,1381,乳液面霜,1391,美白护肤产品,7f943b27a2f101e8,启用,普通,品牌词
美妆个护,1316,面部护肤,1381,眼霜,13547,黑眼圈眼霜,8ff15114c98c5ce3,启用,普通,品牌词
家装建材,9855,五金工具,9858,家用五金,9920,液压合页,41255000ad33ee4a,启用,普通,品牌词
家用电器,737,个护健康,1276,电子秤,1289,体重秤,7aff868a18f5f96e,启用,普通,品牌词
服饰内衣,1315,内衣,1345,男式内裤,9744,男式女内裤,c089fbeede337182,启用,普通,品牌词
家装建材,9855,五金工具,9858,电动工具,9922,冲击扳手,8e61bce7918b67fc,启用,普通,品牌词
家装建材,9855,五金工具,9858,手动工具,9921,棘轮扳手,dc93d62cca0f9eca,启用,普通,品牌词
家具,9847,卧室家具,9848,床,9863,橡木家具,1d64098c4e7eca72,启用,普通,品牌词
家装建材,9855,厨房卫浴,9857,干手器,13890,烘手机,b235dd0146ca3560,启用,普通,品牌词
家用电器,737,个护健康,1276,理发器,1287,电推剪,4050a171c3f6c747,启用,普通,品牌词
家具,9847,卧室家具,9848,床,9863,环保家具,dbcaba5eced5b199,启用,普通,品牌词
母婴,1319,喂养用品,1526,奶瓶奶嘴,7060,吸管奶瓶奶嘴,a719ae7bb88f2471,启用,普通,品牌词
家具,9847,卧室家具,9848,床,9863,软体家具,2bad6492e92669a2,启用,普通,品牌词
数码,652,电子教育,12346,学生平板,12358,儿童平板电脑,34884bc4e146e1b6,启用,普通,品牌词
家用电器,737,个护健康,1276,理发器,1287,成人理发器,7548f8ab038992ac,启用,普通,品牌词
美妆个护,1316,面部护肤,1381,防晒,13548,儿童防晒,8a8abb6076a85aa6,启用,普通,品牌词
美妆个护,1316,面部护肤,1381,套装,1396,面部护理,a36fdaf53b8e9444,启用,普通,品牌词
母婴,1319,妈妈专区,4997,妈咪包/背婴带,5002,婴儿背带,306c336af9dc744c,启用,普通,品牌词
鞋靴,11729,流行男鞋,11730,正装鞋,6906,男正装皮鞋,5c9d816f89903493,启用,普通,品牌词
食品饮料,1320,粮油调味,1584,调味品,2677,西红柿沙司,6b23e69aad9455a6,启用,普通,品牌词
家装建材,9855,灯饰照明,9856,吊灯,9906,布艺灯罩,d4157cd06422711f,启用,普通,品牌词
家装建材,9855,厨房卫浴,9857,淋浴花洒,9907,淋浴花洒龙头,d4b76b9bfc5864e9,启用,普通,品牌词
礼品箱包,1672,精品男包,2576,商务公文包,1455,复古公文包,dce3a84b96e14567,启用,普通,品牌词
运动户外,1318,运动服饰,12102,羽绒服,12104,羽绒服外套,50eee51a033287f8,启用,普通,品牌词
家具,9847,书房家具,9851,书柜/书架,9881,书房中式家具,70a888d4b26c5d8b,启用,普通,品牌词
食品饮料,1320,饮料冲调,1585,冲饮谷物,1601,薏仁粉,ccd86ba4accd6618,启用,普通,品牌词
食品饮料,1320,粮油调味,1584,调味品,2677,花椒油,77d533b242e61033,启用,普通,品牌词
家用电器,737,生活电器,738,电话机,806,电话机,3c341d5c39636ef7,启用,普通,品牌词
家居家纺,1620,生活日用,1624,浴室用品,1657,卷纸筒,dd630e09a89bfc80,启用,普通,品牌词
美妆个护,1316,洗发护发,1386,套装,6739,护发素洗头,26e4908ce1d041a3,启用,普通,品牌词
钟表,5025,钟表,5026,瑞表,13673,瑞表,388aa61c65a23882,启用,普通,品牌词
运动户外,1318,健身训练,1463,舞蹈用品,13808,拉丁舞鞋,480fe67ae86d12d2,启用,普通,品牌词
食品饮料,1320,粮油调味,1584,面,13789,蛋糕粉,ca6336c3e6030101,启用,普通,品牌词
服饰内衣,1315,内衣,1345,休闲棉袜,12010,运动袜,3964ddf2d77387c4,启用,普通,品牌词
食品饮料,1320,粮油调味,1584,调味品,2677,花生酱,7d0e45a58e5812fc,启用,普通,品牌词
家具,9847,阳台/户外,9853,户外家具,9892,仿藤休闲家具,f91f290899badd44,启用,普通,品牌词
食品饮料,1320,粮油调味,1584,调味品,2677,咖喱,ef96db3d68d54774,启用,普通,品牌词
食品饮料,1320,粮油调味,1584,杂粮,13790,糙米,5c7d683b6773cfa7,启用,普通,品牌词
食品饮料,1320,进口食品,5019,冲调饮品,5023,速溶咖啡,80f983c1c6bfd466,启用,普通,品牌词
礼品箱包,1672,精品男包,2576,单肩/斜挎包,12072,迷你包男,4a7915d37c7d9320,启用,普通,品牌词
食品饮料,1320,粮油调味,1584,调味品,2677,米线调料,161720520f2ede21,启用,普通,品牌词
家具,9847,餐厅家具,9850,餐桌,9877,实木桌,2c97ba051650512c,启用,普通,品牌词
家具,9847,卧室家具,9848,床,9863,实木家具床,073630d8d30b5722,启用,普通,品牌词
家具,9847,餐厅家具,9850,餐桌,9877,实木餐厅家具,ab8e181918cc5631,启用,普通,品牌词
